system:index,CECSOL_BiomassCutScaled,CHELSA_bio10_12_BiomassCutScaled,CHELSA_bio10_15_BiomassCutScaled,CHELSA_bio10_7_BiomassCutScaled,CLYPPT_BiomassCutScaled,ORCDRC_BiomassCutScaled,PETyr_BiomassScaled,PHIHOX_BiomassCutScaled,SLTPPT_BiomassCutScaled,Snow_newValues_WGS84,elevation_BiomassScaled,.geo
00000000000000000f36_0,-0.105870105,-0.2355365,1.2030298,-0.24328397,0.50031394,-0.9153958,1.3055222,1.3590317,0.21024509,0.0,-0.40769455,
00000000000000000f37_0,-0.105870105,-0.2355365,1.2030298,-0.24328397,0.50031394,-0.9153958,1.3055222,1.3590317,0.21024509,0.0,-0.40769455,
00000000000000000f38_0,-0.105870105,-0.2355365,1.2030298,-0.24328397,0.50031394,-0.9153958,1.3055222,1.3590317,0.21024509,0.0,-0.40769455,
00000000000000000f93_0,-0.105870105,-0.2355365,1.2030298,-0.24328397,0.50031394,-0.9153958,1.3055222,1.3590317,0.21024509,0.0,-0.40769455,
00000000000000000f94_0,-0.105870105,-0.2355365,1.2030298,-0.24328397,0.50031394,-0.9153958,1.3055222,1.3590317,0.21024509,0.0,-0.40769455,
00000000000000000f95_0,-0.105870105,-0.2355365,1.2030298,-0.24328397,0.50031394,-0.9153958,1.3055222,1.3590317,0.21024509,0.0,-0.40769455,
00000000000000000f96_0,-0.105870105,-0.2355365,1.2030298,-0.24328397,0.50031394,-0.9153958,1.3055222,1.3590317,0.21024509,0.0,-0.40769455,
00000000000000000f97_0,-0.105870105,-0.2355365,1.2030298,-0.24328397,0.50031394,-0.9153958,1.3055222,1.3590317,0.21024509,0.0,-0.40769455,
00000000000000000a99_0,-0.5348202,-0.63307035,1.2030298,-0.9782837,0.36933008,-0.8091995,0.29496932,0.8184699,-0.39162788,0.0,-0.7264975,
00000000000000000d6b_0,0.5133078,0.22495523,1.889262,-1.1882834,4.0820236,-0.6221092,1.497693,-0.2851207,-0.96192306,0.0,3.6871524,
