system:index,Aridity_RichnessScaled,CECSOL_RichnessCutScaled,CHELSA_bio10_15_RichnessCutScaled,CHELSA_bio10_7_RichnessCutScaled,CLYPPT_RichnessCutScaled,ORCDRC_RichnessCutScaled,PETyr_RichnessScaled,PHIHOX_RichnessCutScaled,SLTPPT_RichnessCutScaled,Snow_newValues_WGS84,elevation_RichnessScaled,.geo
00000000000000000699_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
0000000000000000069a_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
0000000000000000069b_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
0000000000000000069c_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
0000000000000000069d_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
0000000000000000069e_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
0000000000000000069f_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
000000000000000006a0_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
000000000000000006a1_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
000000000000000006a2_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
000000000000000006a3_0,-0.66985756,0.45165274,-0.28431872,-0.51814127,0.78445315,-0.7426193,1.3566282,1.3059098,0.94079727,0.0,-0.7297572,
